size_N,threads,time_cpp_ms
100,1,0.0
100,2,0.0050001
100,4,0.0050001
100,8,0.0009999
100,12,0.0049999
100,16,0.0080001
100,24,0.0059998
100,32,0.0079999
100,48,0.0059998
250,1,0.0020001
250,2,0.0019999
250,4,0.003
250,8,0.004
250,12,0.0050001
250,16,0.0050001
250,24,0.007
250,32,0.007
250,48,0.0109999
500,1,0.016
500,2,0.01
500,4,0.007
500,8,0.007
500,12,0.007
500,16,0.006
500,24,0.006
500,32,0.01
500,48,0.0119998
1000,1,0.163
1000,2,0.0899999
1000,4,0.0469999
1000,8,0.029
1000,12,0.0250001
1000,16,0.0209999
1000,24,0.02
1000,32,0.0220001
1000,48,0.0239999
1500,1,0.836
1500,2,0.386
1500,4,0.192
1500,8,0.0960002
1500,12,0.069
1500,16,0.063
1500,24,0.0550001
1500,32,0.062
1500,48,0.0540001
2000,1,3.264
2000,2,1.743
2000,4,1.131
2000,8,0.584
2000,12,0.403
2000,16,0.281
2000,24,0.174
2000,32,0.181
2000,48,0.187
3000,1,10.088
3000,2,6.456
3000,4,4.132
3000,8,1.83
3000,12,1.286
3000,16,0.963
3000,24,1.119
3000,32,0.931
3000,48,0.96
5000,1,40.515
5000,2,27.344
5000,4,17.089
5000,8,9.013
5000,12,6.15
5000,16,4.666
5000,24,6.18
5000,32,6.071
5000,48,7.053
