size_N,threads,time_cpp_ms
100,1,0.1236
100,2,0.1179
100,4,0.1246
100,8,0.1219
100,12,0.1173
100,16,0.1215
100,24,0.1189
100,32,0.118
100,48,0.1196
250,1,2.1287
250,2,2.0475
250,4,2.1188
250,8,2.0755
250,12,2.0407
250,16,2.0959
250,24,2.1327
250,32,2.037
250,48,2.0686
500,1,16.1938
500,2,18.8655
500,4,16.1721
500,8,16.4215
500,12,16.5299
500,16,16.5412
500,24,16.3134
500,32,16.2159
500,48,16.3368
1000,1,157.609
1000,2,158.593
1000,4,154.899
1000,8,156.384
1000,12,158.099
1000,16,160.365
1000,24,167.013
1000,32,158.164
1000,48,158.286
1500,1,640.739
1500,2,684.274
1500,4,573.001
1500,8,612.844
1500,12,549.369
1500,16,582.651
1500,24,562.572
1500,32,575.976
1500,48,566.117
2000,1,3639.08
2000,2,2856.34
2000,4,3349.35
2000,8,3104.89
2000,12,2757.75
2000,16,2800.19
2000,24,2763.96
2000,32,2693.56
2000,48,2798.7
3000,1,9659.15
3000,2,9419.04
3000,4,9353.35
3000,8,9525.54
3000,12,10731.4
3000,16,12351.2
3000,24,12370.5
3000,32,10805.9
3000,48,11653.4
5000,1,44372.7
5000,2,41076.1
5000,4,42772.7
5000,8,37407.3
5000,12,48255.0
5000,16,39599.8
5000,24,45972.0
5000,32,43376.4
5000,48,46646.3
