size_N,block_size,mode,time_cuda_ms,time_cpu_ms,speedup
100,8,global,177.307,0.11,0.0006
100,8,tiled,6.28736,0.11,0.0175
100,16,global,6.15498,0.11,0.0179
100,16,tiled,6.51917,0.11,0.0169
100,32,global,6.51494,0.11,0.0169
100,32,tiled,6.72525,0.11,0.0164
250,8,global,6.7392,2.1,0.3116
250,8,tiled,6.48,2.1,0.3241
250,16,global,5.95485,2.1,0.3527
250,16,tiled,5.99763,2.1,0.3501
250,32,global,6.15306,2.1,0.3413
250,32,tiled,6.51568,2.1,0.3223
500,8,global,6.20163,17.27,2.7848
500,8,tiled,5.8961,17.27,2.9291
500,16,global,5.68624,17.27,3.0372
500,16,tiled,5.99418,17.27,2.8811
500,32,global,6.1265,17.27,2.8189
500,32,tiled,5.98483,17.27,2.8856
1000,8,global,5.94198,200.93,33.8153
1000,8,tiled,6.00544,200.93,33.458
1000,16,global,5.53245,200.93,36.3184
1000,16,tiled,5.80141,200.93,34.6347
1000,32,global,5.70979,200.93,35.1904
1000,32,tiled,5.70934,200.93,35.1932
1500,8,global,6.02954,641.72,106.4293
1500,8,tiled,5.78816,641.72,110.8677
1500,16,global,6.07376,641.72,105.6545
1500,16,tiled,6.16413,641.72,104.1055
1500,32,global,5.73619,641.72,111.8722
1500,32,tiled,6.23488,641.72,102.9242
2000,8,global,5.892,2790.73,473.6473
2000,8,tiled,6.30182,2790.73,442.8451
2000,16,global,5.74064,2790.73,486.1357
2000,16,tiled,5.75302,2790.73,485.0896
2000,32,global,5.79738,2790.73,481.3778
2000,32,tiled,5.74099,2790.73,486.1061
3000,8,global,5.92118,8819.36,1489.4599
3000,8,tiled,5.97242,8819.36,1476.6811
3000,16,global,5.95818,8819.36,1480.2104
3000,16,tiled,5.85507,8819.36,1506.2775
3000,32,global,6.02934,8819.36,1462.7405
3000,32,tiled,5.91651,8819.36,1490.6355
5000,8,global,5.62064,43630.7,7762.5858
5000,8,tiled,5.63888,43630.7,7737.4762
5000,16,global,5.70563,43630.7,7646.9557
5000,16,tiled,5.49389,43630.7,7941.677
5000,32,global,5.69594,43630.7,7659.9648
5000,32,tiled,5.92701,43630.7,7361.334
